Description,Amount,Created Time,Original Date,Type
Shirts Pull and Bear,"COP 100,000.00","July 2, 2023 1:38 AM",,Discretionary
Riñonera,"COP 110,000.00","July 2, 2023 1:46 AM",,Discretionary
Mimi,"COP 60,000.00","July 2, 2023 2:28 AM",,Discretionary
Dollar City,"COP 44,100.00","July 3, 2023 7:39 PM",,Utilities
Olimpica,"COP 55,000.00","July 3, 2023 8:34 PM",,Utilities
Mr Bono,"COP 12,600.00","July 8, 2023 8:49 PM",,Discretionary
Alkosto,"COP 31,400.00","July 16, 2023 8:17 PM",,Utilities
Alkosto,"COP 144,000.00","July 16, 2023 9:17 PM",,Utilities
Cepillo y Gorro De Satin,"COP 50,000.00","July 29, 2023 10:57 PM",,Utilities
RosaNegra,"COP 131,000.00","August 6, 2023 2:18 AM",,Discretionary
Le Panier,"COP 18,000.00","August 12, 2023 10:20 PM",,Discretionary
D1,"COP 359,000.00","August 21, 2023 6:42 PM",,Utilities
Pizza,"COP 90,000.00","August 21, 2023 6:42 PM",,Discretionary
Tanqueada de Nana,"COP 15,000.00","August 21, 2023 7:35 PM",,Utilities
Olimpica,"COP 91,000.00","August 21, 2023 7:39 PM",,Discretionary
Barrio Abajo,"COP 37,000.00","August 24, 2023 12:46 PM",,Discretionary
Regalo Pa,"COP 120,000.00","August 25, 2023 6:04 PM",,Sinking
Batidos,"COP 30,000.00","August 26, 2023 9:13 PM",,Discretionary
Lourdes' Mom Gift,"COP 100,000.00","August 26, 2023 11:20 PM",,Sinking
Café Bold,"COP 26,000.00","September 3, 2023 9:34 PM",,Discretionary
Manillas De Reloj,"COP 35,000.00","September 3, 2023 9:35 PM",,Discretionary
1 Chicken Bake,"COP 12,000.00","September 10, 2023 9:23 PM",,Discretionary
Uber,"COP 12,000.00","September 17, 2023 1:06 AM",,Discretionary
Almuerzo,"COP 37,000.00","September 21, 2023 1:18 AM",,Discretionary
Almuerzo,"COP 37,000.00","September 21, 2023 1:18 AM",,Discretionary
Ubers,"COP 40,000.00","September 22, 2023 10:16 AM",,Discretionary
Uber,"COP 8,000.00","September 24, 2023 1:34 AM",,Discretionary
Matriarca,"COP 195,574.00","September 24, 2023 5:23 AM",,Discretionary
Almuerzo,"COP 42,000.00","September 29, 2023 12:59 AM",,Discretionary
Withdrawal,"COP 200,000.00","October 1, 2023 2:42 AM",,Utilities
Pricesmart,"COP 144,000.00","October 1, 2023 8:35 PM",,Utilities
Uber,"COP 7,000.00","October 4, 2023 2:32 PM",,Discretionary
Limpieza Dental,"COP 140,000.00","October 4, 2023 3:22 PM",,Utilities
Almuerzo,"COP 40,000.00","October 12, 2023 1:47 AM",,Discretionary
