Name,Brand,Image,Price,Slug
Gelatina Sin Sabor x 4 (30g),Kedeli,,"COP 2,900.00",gelatina-sin-sabor-frutino-30-g-7702354009397--909464
Tomates En Lata,Deliziare,,"COP 4,490.00",tomates-enteros-pelados-deliziare-400-g-12002575
Tomates Cherry (250g),La Giralda,,"COP 9,600.00",tomate-cherry-la-giralda-por-500-g-7701008509337-13012
Rúgula (250g),La Giralda,,"COP 8,980.00",rugula-la-giralda-bandeja--por-250g-7701008657489-13524
Pechuga De Pollo,Pollo Fresco,,"COP 18,500.00",pollo-pechuga-fresca-bandeja-familiar-24019989-2197
Pechuga De Pollo (1.3Kg),Pollo Fiesta,,"COP 17,990.00",pechuga-de-pollo-fiesta-x-1300-g-12003957
Albahaca,Kiska,,"COP 4,980.00",albahaca-fresca-kiska-por--50-gr-19161008046-6773
Pasta De Ajo (110g),Delika,,"COP 2,190.00",pasta-de-ajo-delika-110-g-12004032
Tocineta (200g),Viandé,,"COP 6,590.00",tocineta-tipo-sandwich-viande-200-g-12000770
Whisky Old Parr (750ml),Old Parr,,"COP 145,000.00",whisky-old-parr-12-anos-750-ml-5000281003160-554605
Leche En Polvo Y Crema De Leche (900g),Olímpica,,"COP 9,990.00",leche-polv-olimpica-bsa-380-g
Leche En Polvo (187g),Nestlé,,"COP 7,590.00",leche-polvo-rodeo-187-gr-12004393
Agua,,,COP 0.00,
Hielo,,,COP 0.00,
Cocoa En Polvo (230g),Casa Real,,"COP 5,890.00",cocoa-casa-real-230-g-12000479
Cocoa En Polvo Sin Azúcar (230g),Medalla De Oro,,"COP 5,790.00",cocoa-medalla-de-oro-polv-230g
Jamón De Cerdo En Bloque,Zenú,,"COP 32,900.00",jamon-cerdo-medalla-oo-24458177-899152
Apio (200g),Olímpica,,"COP 2,980.00",apio-hacienda-la-giralda-tallo-por-200g-7701008657144-13415
Galletas x6,Ritz,,"COP 5,400.00",galletas-ritz-bolsa-134-g-7622300116507-1542751
Chocolate Chocolyne En Polvo (100g),Chocolyne,,"COP 5,390.00",chocolate-con-splenda-chocolyne-100-g-12002756
Chocolate Chocolyne Splenda (120g),Chocolyne,,"COP 9,300.00",chocolate-chocolyne-splenda-120-g-7702007033496-819403
Chocolate Chocolyne (108g),Chocolyne,,"COP 9,920.00",chocolate-chocolyne-barra-bolsa-x-18-7702007019032-1552540
Lechuga Batavia (Unidad),Olímpica,,"COP 6,980.00",lechuga-batavia
Lechuga Crespa,Olímpica,,"COP 3,880.00",lechuga-olimpica-verde-crespa-hdroponica-por--180g-7701008507579-10883
Leche De Almendra (1L),Tosh,,"COP 14,500.00",bebida-tosh-almendra-sa-1l
Harina De Almendra (250g),Why Not,,"COP 27,800.00",harina-de-almendra-why-not-250-gr-3028587
Crema De Whisky Baileys Original (700ml),Bailey's,,"COP 72,000.00",crema-de-whisky-baileys-orig-700-ml-5011013100156-1457732
Whisky Jack Daniel's (750ml),Jack Daniel's,,"COP 128,000.00",whisky-jack-dan-750-ml-82184090466-1569062
